speaker,text,act,conv_id,topic,topic_ldaconv,topic_ldautt
0,When does it start and what is the address of the venue?,5,1182,-1,-1,-1
1,The event starts at 6:30 pm and the venue is at 319 Main Street,6,1182,-1,-1,-1
0,Sounds good to me.,16,1182,-1,-1,-1
1,Do you want tickets to this event?,17,1182,-1,-1,-1
0,Not now. Maybe later.,34,1182,-1,-1,-1
1,Anything else I can help you with?,23,1182,-1,-1,-1
0,I would like to find dates for events.,1,1182,-1,-1,-1
1,"There is 1 event called Last Dinosaurs at the Imperial Vancouver, today.",9,1182,-1,-1,-1
0,That sounds good. I want to buy tickets for the event.,10,1182,-1,-1,-1
1,How many tickets do you need?,2,1182,-1,-1,-1
0,I just need one.,3,1182,-1,-1,-1
1,"Please confirm that you want 1 ticket for Last Dinosaurs event at Vancouver, for today.",11,1182,-1,-1,-1
0,Right. That would be perfect.,20,1182,-1,-1,-1
1,Your ticket has been confirmed.,21,1182,-1,-1,-1
0,Thank you. That's all I need for now.,14,1182,-1,-1,-1
1,Have a great day!,15,1182,-1,-1,-1
0,Help me find some events I could go to,1,1282,-1,-1,-1
1,Where do you want to look?,2,1282,-1,-1,-1
0,Look for events in the Toronto area,3,1282,-1,-1,-1
1,"Do you prefer music, sports, or some other kind of event?",2,1282,-1,-1,-1
0,I want to attend a concert.,3,1282,-1,-1,-1
1,"I found 1 event at Woodbine Park, it's a Mac Demarco concert",9,1282,-1,-1,-1
0,Where is the event going to be? And at what time?,5,1282,-1,-1,-1
1,It's at 1695 QUeen Street East and will start at 5:30 pm,6,1282,-1,-1,-1
0,"That sounds great, help me find more dates for this",10,1282,-1,-1,-1
1,"I found 3 more days, there's one next Monday for Mac Demarco also at Woodbine Park",9,1282,-1,-1,-1
0,"That sounds great, book me some tickets",10,1282,-1,-1,-1
1,How many do you need?,2,1282,-1,-1,-1
0,I only need one,3,1282,-1,-1,-1
1,So 1 tickert to Mac Demarco next Monday in Toronto,11,1282,-1,-1,-1
0,Yes that works for me,20,1282,-1,-1,-1
1,Ok your reservation is booked,21,1282,-1,-1,-1
0,"Great, that's all thank you so much.",14,1282,-1,-1,-1
1,Enjoy the concert!,15,1282,-1,-1,-1
0,I want to watch The Upside now.,27,235,-1,-1,-1
1,Okay so you want to play The Upside with no subtitles?,11,235,-1,-1,-1
0,Yes. Who directs this movie?,12,235,-1,-1,-1
1,The movie has started. Neil Burger directed it.,13,235,-1,-1,-1
0,What's the genre?,5,235,-1,-1,-1
1,It's a comedy.,6,235,-1,-1,-1
0,Thanks. That'll be all for now.,14,235,-1,-1,-1
1,Have a good day!,15,235,-1,-1,-1
0,I am looking for an event to attend. Can you help me?,1,1011,-1,-1,-1
1,Do you have a particular event type your looking for like Music or Sports? What city should I search?,2,1011,-1,-1,-1
0,I would like to attend a Music event in LA.,3,1011,-1,-1,-1
1,An event featuring Bill Callahan is taking place at the Lodge Room tomorrow at 8:30 pm.,4,1011,-1,-1,-1
0,Sounds ok but can you find another event?,7,1011,-1,-1,-1
1,An event featuring Girl In Red is taking place at The Teragram Ballroom next Thursday at 7 pm.,4,1011,-1,-1,-1
0,Can you find me something else. I really like Rock and I'd like something on the 8th of this month.,8,1011,-1,-1,-1
1,An event featuring Guided By Voices is taking palce at The Teragram Ballroom next Friday at 6 pm.,4,1011,-1,-1,-1
0,What is the address of the event.,5,1011,-1,-1,-1
1,The address is 1234 West 7th Street.,6,1011,-1,-1,-1
0,That sounds great. I want to reserve 3 tickets.,25,1011,-1,-1,-1
1,Ok. I have the following details. 3 tickets for the Guided By Voices event in Los Angeles next Friday. Is that correct?,11,1011,-1,-1,-1
0,Yes. That is correct.,20,1011,-1,-1,-1
1,I have completed the reservations. Have fun at the event!,21,1011,-1,-1,-1
0,"I plan on it, thanks",22,1011,-1,-1,-1
1,Can I assist you with anything else?,23,1011,-1,-1,-1
0,"No thanks, that was all i needed.",24,1011,-1,-1,-1
1,"Ok, Enjoy the rest of your day.",15,1011,-1,-1,-1
0,Can you find me a song?,1,669,-1,-1,-1
1,What about Change Your Life by Iggy Azalea from the album The New Classic?,4,669,-1,-1,-1
0,Do you have a song from the album Handwritten?,8,669,-1,-1,-1
1,"I found 4 songs, what do you think of Aftertaste by Shawn Mendes from the album Handwritten?",9,669,-1,-1,-1
0,Can you look from the album Cuz I Love You?,8,669,-1,-1,-1
1,Do you want to hear Tempo by Lizzo it's from the album Cuz I Love You.,4,669,-1,-1,-1
0,What is the genre?,5,669,-1,-1,-1
1,The genre of the song is Pop.,6,669,-1,-1,-1
0,"That is good, can you play it on the speaker in kitchen?",25,669,-1,-1,-1
1,Confirm: Play Tempo on kitchen speaker.,11,669,-1,-1,-1
0,"No, in my bedroom instead please.",19,669,-1,-1,-1
1,Play Tempo song on bedroom speaker.,11,669,-1,-1,-1
0,That is correct.,20,669,-1,-1,-1
1,Started playing the song.,21,669,-1,-1,-1
0,"Thank you, that is all I needed.",14,669,-1,-1,-1
1,Have a good day.,15,669,-1,-1,-1
0,Can you search for some Pop songs for me?,27,761,-1,-1,-1
1,Search revealed 10 songs. Do you like Adorn by Miguel on the Kaleidoscope Dream album?,9,761,-1,-1,-1
0,Find me some other songs such as Arash songs on the Superman album.,8,761,-1,-1,-1
1,Do you like One Day by Arash on the Superman album?,4,761,-1,-1,-1
0,"Yes, I do. Play that song on the kitchen speaker.",25,761,-1,-1,-1
1,You want to cast One Day on the kitchen speaker. Is that right?,11,761,-1,-1,-1
0,"Yes, that is right.",20,761,-1,-1,-1
1,Your song has started.,21,761,-1,-1,-1
0,Thanks a lot.,22,761,-1,-1,-1
1,Do you need anything else?,23,761,-1,-1,-1
0,"No, that is all. Thanks.",24,761,-1,-1,-1
1,Have a great day.,15,761,-1,-1,-1
0,I want to find out about events in New York.,27,1071,-1,-1,-1
1,What type of event are you interested in?,2,1071,-1,-1,-1
0,I want a sports event.,3,1071,-1,-1,-1
1,I found 10 sporting events. The first is Mets vs Braves at Citi Field.,9,1071,-1,-1,-1
0,What are some of the other events?,7,1071,-1,-1,-1
1,The next one is the Mets vs Cubs at Citi Field.,4,1071,-1,-1,-1
0,When does that game begin and what kind of event is it?,5,1071,-1,-1,-1
1,Mets vs Cubs is a baseball game and begins at 6 pm with gates opening at 4 pm.,6,1071,-1,-1,-1
0,"Yes, I would like tickets.",10,1071,-1,-1,-1
1,What date are you interested in?,2,1071,-1,-1,-1
0,I want the game on March 8th.,3,1071,-1,-1,-1
1,How many tickets would you like?,2,1071,-1,-1,-1
0,I need two tickets. Could you make it the game on the 6th?,3,1071,-1,-1,-1
1,Please confirm the following: 2 tickets for the Mets vs Cubs baseball game next Wednesday in New York City.,11,1071,-1,-1,-1
0,I changed my mind. I need three tickets.,19,1071,-1,-1,-1
1,Please confirm the following: 3 tickets for the Mets vs Cubs baseball game next Wednesday in New York City.,11,1071,-1,-1,-1
0,"Yes, that's perfect, thanks.",20,1071,-1,-1,-1
1,Your tickets have been purchased and will be available at will-call.,21,1071,-1,-1,-1
0,Where is Citi Field located?,5,1071,-1,-1,-1
1,Citi Field is located at 123-01 Roosevelt Avenue.,6,1071,-1,-1,-1
0,"Great, thanks for your help.",22,1071,-1,-1,-1
1,Would you like help with any other event?,23,1071,-1,-1,-1
0,"No, I don't think so. Thanks.",24,1071,-1,-1,-1
1,Enjoy the game.,15,1071,-1,-1,-1
0,I would like to search for an event.,1,1049,-1,-1,-1
1,What are you interested in?,2,1049,-1,-1,-1
0,I would like to go to a Concert.,3,1049,-1,-1,-1
1,In which city are you located?,2,1049,-1,-1,-1
0,I am looking in Anaheim.,3,1049,-1,-1,-1
1,There is 1 event at Crossroads at House of Blues Anaheim the Brown Sabbath.,9,1049,-1,-1,-1
0,When does this start and which category does this event belong to?,5,1049,-1,-1,-1
1,This is a Funk event at 7 pm.,6,1049,-1,-1,-1
0,That sounds good can I get one ticket?,25,1049,-1,-1,-1
1,Do you have a date in mind?,2,1049,-1,-1,-1
0,On March 1st please.,3,1049,-1,-1,-1
1,1 ticket for Brown Sabbath today at Anaheim.,11,1049,-1,-1,-1
0,"Yes, thank you.",20,1049,-1,-1,-1
1,Your reservation has been made.,21,1049,-1,-1,-1
0,Thank you for your search.,14,1049,-1,-1,-1
1,have a great day.,15,1049,-1,-1,-1
0,I am interested in finding dates for events.,1,512,-1,-1,-1
1,Do you know the event you are interested in? Do you have a preference on the city in which I should look?,2,512,-1,-1,-1
0,I heard that Atlanta Summer Organ Festival is really fun. I am looking for events in ATL.,3,512,-1,-1,-1
1,The event is on the day after tomorrow. It is the Atlanta Summer Organ Festival and it is at Peachtree Road United Methodist Church.,4,512,-1,-1,-1
0,That sounds good to me. I want to buy one ticket for the event.,25,512,-1,-1,-1
1,Please confirm the following details. The event is Atlanta Summer Organ Festival in Atlanta and you want 1 ticket for the day after tomorrow?,11,512,-1,-1,-1
0,No. I want 4 tickets.,19,512,-1,-1,-1
1,Please confirm the details once more. The event is Atlanta Summer Organ Festival and the total number of tickets is 4.,11,512,-1,-1,-1
0,Yes that is perfect. When does it start and where?,12,512,-1,-1,-1
1,Your reservation has been made. The venue is located at 3180 Peachtree Road Northeast and begins at 6:30 pm.,13,512,-1,-1,-1
0,Thanks for your help.,22,512,-1,-1,-1
1,Can I help with anything else?,23,512,-1,-1,-1
0,No thank you.,24,512,-1,-1,-1
1,Have a great day!,15,512,-1,-1,-1
0,"Hi there, could you help me find some songs? Any genre will do.",27,774,-1,-1,-1
1,"I found 10 songs which you may like, one of which is Cirice by Ghost in the album Meliora.",9,774,-1,-1,-1
0,"That's not really my taste, I would prefer Pop songs in the album Happiness.",8,774,-1,-1,-1
1,How about Wonderful Life by Hurts in the album Happiness?,4,774,-1,-1,-1
0,That sounds good!,16,774,-1,-1,-1
1,Would you like me to play the music for you?,17,774,-1,-1,-1
0,"Sure thing, thanks!",29,774,-1,-1,-1
1,Please confirm your action to play Wonderful Life on TV.,11,774,-1,-1,-1
0,Could you play it on my kitchen device instead?,19,774,-1,-1,-1
1,"Sure, please confirm your action to play Wonderful Life on kitchen speaker.",11,774,-1,-1,-1
0,"Sorry, could you change it to the bedroom device instead?",19,774,-1,-1,-1
1,"Sure, please confirm your action to play Wonderful Life on bedroom speaker.",11,774,-1,-1,-1
0,"Yes, that will be fine.",20,774,-1,-1,-1
1,"Your music has started playing, enjoy!",21,774,-1,-1,-1
0,Thank you very much!,22,774,-1,-1,-1
1,Do you require further assistance?,23,774,-1,-1,-1
0,"No, that's all the help I need. Thank you!",24,774,-1,-1,-1
1,"No problem, have a great day ahead!",15,774,-1,-1,-1
0,I am looking for songs on the album Home State.,27,618,-1,-1,-1
1,I found 2 songs; Singles You Up by Jordan Davis on the album Home State.,9,618,-1,-1,-1
0,What else is there?,7,618,-1,-1,-1
1,Next is Take It From Me by Jordan Davis on Home State.,4,618,-1,-1,-1
0,What is the genre?,5,618,-1,-1,-1
1,It is a Country song.,6,618,-1,-1,-1
0,"That's it, please play it in my kitchen.",25,618,-1,-1,-1
1,Playing Take it From Me on kitchen speaker.,11,618,-1,-1,-1
0,"Yes, that's great.",20,618,-1,-1,-1
1,*Device plays song*,21,618,-1,-1,-1
0,"Great, thank you.",22,618,-1,-1,-1
1,Anything else today?,23,618,-1,-1,-1
0,"That is all, thanks.",24,618,-1,-1,-1
1,Have a nice day.,15,618,-1,-1,-1
0,"Hello, I'm looking for the dates of some events.",1,491,-1,-1,-1
1,What type of events are you interested in?,2,491,-1,-1,-1
0,I'm looking for events in Chicago. I've heard that the White Sox Vs Astros should be good.,3,491,-1,-1,-1
1,"The game, White Sox vs Astros, will be on the day after tomorrow at Guaranteed Rate Field.",4,491,-1,-1,-1
0,What about events on the other dates? I'm looking for events in SF and have heard Celine Dion should be good.,8,491,-1,-1,-1
1,There will be 7 performances. One performance with Celine Dion will be today at the Chase Center Experience.,9,491,-1,-1,-1
0,What about events on other dates?,7,491,-1,-1,-1
1,Celine Dion will also be performing at the Chase Center Experience tomorrow.,4,491,-1,-1,-1
0,That sounds great. I want to buy a ticket.,10,491,-1,-1,-1
1,How many tickets would you like?,2,491,-1,-1,-1
0,I'd like three tickets.,3,491,-1,-1,-1
1,Please confirm the following: You'd like 3 tickets for Celine Dion tomorrow in San Francisco.,11,491,-1,-1,-1
0,"Yes, that works for me.",20,491,-1,-1,-1
1,Your reservation has been made.,21,491,-1,-1,-1
0,Thank you for your help.,22,491,-1,-1,-1
1,Can I help with anything else?,23,491,-1,-1,-1
0,"No, that'll be it. Thanks again.",24,491,-1,-1,-1
1,Have a great day.,15,491,-1,-1,-1
0,I looking for an event on 8th of March,27,1018,-1,-1,-1
1,Any particular category like music or sports?,2,1018,-1,-1,-1
0,I want music,3,1018,-1,-1,-1
1,What city do you want me to search for,2,1018,-1,-1,-1
0,I want Jazz around Napa,3,1018,-1,-1,-1
1,I found 1 event for Roy Ayers next friday at 6 pm at Blue Note Napa,9,1018,-1,-1,-1
0,What is the address,5,1018,-1,-1,-1
1,The address is 1030 main Street,6,1018,-1,-1,-1
0,that sound good,10,1018,-1,-1,-1
1,how many tickets are you looking for,2,1018,-1,-1,-1
0,I need three tickets,3,1018,-1,-1,-1
1,Please confirm your booking of 3 tickets for Roy Ayers next Friday in Napa,11,1018,-1,-1,-1
0,No i need two tickets,19,1018,-1,-1,-1
1,Please confirm 2 tickets for your reservation in Napa,11,1018,-1,-1,-1
0,yes please,20,1018,-1,-1,-1
1,this is done,21,1018,-1,-1,-1
0,thanks,22,1018,-1,-1,-1
1,anything else i can help you with?,23,1018,-1,-1,-1
0,no thats it,24,1018,-1,-1,-1
1,have a nice day,15,1018,-1,-1,-1
0,I want to search for events.,1,1082,-1,-1,-1
1,"Do you have a preferred type of event? You can say Music, Sports, or anything else.",2,1082,-1,-1,-1
0,"I'm looking for Games events in Atlanta, GA.",3,1082,-1,-1,-1
1,I found 10 events which suit your taste. Falcons Vs Buccaneers is at the Mercedes-Benz Stadium.,9,1082,-1,-1,-1
0,That sounds good to me.,16,1082,-1,-1,-1
1,Do you want to buy tickets for this event?,17,1082,-1,-1,-1
0,Yes I would like to buy tickets. I want one ticket on the 11th.,18,1082,-1,-1,-1
1,Please confirm the following details: The event is Falcons Vs Buccaneers. The event is on March 11th in Atlanta. You have 1 ticket.,11,1082,-1,-1,-1
0,"Yes, that works for me. Where is the venue located?",12,1082,-1,-1,-1
1,Your reservation has been made. The venue is located at 1 AMB Drive Northwest.,13,1082,-1,-1,-1
0,Thanks a lot for your help. That's all I need.,14,1082,-1,-1,-1
1,Have a great day.,15,1082,-1,-1,-1
0,Will you help me find a song one years back from the album Magic?,27,913,-1,-1,-1
1,I found 1 song. How about Love Like This by Ben Rector from the album Magic?,9,913,-1,-1,-1
0,Sounds great.,16,913,-1,-1,-1
1,Do you want me to play it?,17,913,-1,-1,-1
0,Yes.,29,913,-1,-1,-1
1,Please confirm Love Like This playing on TV.,11,913,-1,-1,-1
0,That's great. What genre is it?,12,913,-1,-1,-1
1,Pop.,13,913,-1,-1,-1
0,Thanks.,22,913,-1,-1,-1
1,Anything else?,23,913,-1,-1,-1
0,"No, thanks.",24,913,-1,-1,-1
1,Have a wonderful day.,15,913,-1,-1,-1
0,"Hi, i need a help, i am interested in events,I want to search for events",1,1232,-1,-1,-1
1,"Sure, Which city should i search in and what type of events are you interested?",2,1232,-1,-1,-1
0,I am looking For music events in Belvedere,3,1232,-1,-1,-1
1,"I got a 1 events for you, The event name is Chanticleer Concert at St. Stephen's Episcopal Church",9,1232,-1,-1,-1
0,That seems good for me.,16,1232,-1,-1,-1
1,Do you want to buy tickets for this music events,17,1232,-1,-1,-1
0,"No, Not now, I am interested to finding dates for event",33,1232,-1,-1,-1
1,I found the event on 6 days. The event name is Chanticleer Concert at St. Stephen's Episcopal Church on today.,9,1232,-1,-1,-1
0,That seems good for me. I need to book one ticket for me,25,1232,-1,-1,-1
1,"please confirm the following details: The event name is Chanticleer Concert at Belvedere on today, the number of tickets is 1",11,1232,-1,-1,-1
0,"No, Not one ticket, i need 2 tickets",19,1232,-1,-1,-1
1,please confirm the following details: the number of tickets is 2 and the event is on today,11,1232,-1,-1,-1
0,"Yes, that seems good for me, Could you tell me Where is the venue located?",12,1232,-1,-1,-1
1,"Congrats, Your ticket is booked for the event located at 3 Bayview Avenue",13,1232,-1,-1,-1
0,"Thank you very much for your help, That's all i need",14,1232,-1,-1,-1
1,"You are welcome, Have a nice day",15,1232,-1,-1,-1
0,I need you to make reservations st Koh Samui & The Monkey for three please,27,348,-1,-1,-1
1,Where are they located? What time do you want to eat?,2,348,-1,-1,-1
0,Make the reservation in San Francisco for 7 in the evening on Wednesday next week.,3,348,-1,-1,-1
1,You would like reservations for 3 in San Francisco at Koh Samui & The Monkey next Wednesday at 7 pm. Is that information correct?,11,348,-1,-1,-1
0,"No, I forgot, my mother-in-law canceled, so I only need reservations for two and I need those at the Crouching TIger.",19,348,-1,-1,-1
1,"You want a table for 2 at the Crouching Tiger Restaurant, is this right?",11,348,-1,-1,-1
0,"Yes, exactly, I will need the address. Are they in the low priced category?",12,348,-1,-1,-1
1,I could not get an available table. Do you have something else I can do?,26,348,-1,-1,-1
0,"No, not at this moment. Thank you.",24,348,-1,-1,-1
1,Have a wonderful day then.,15,348,-1,-1,-1
0,I need to make a restaurant reservation.,1,350,-1,-1,-1
1,Which restaurant in which city and for what time?,2,350,-1,-1,-1
0,The restaurant is in Berkeley and it's called House of Curries. I would like a reservation for 1 person at quarter past 5 in the evening.,3,350,-1,-1,-1
1,Confirming a table for 1 at House of Curries in Berkeley at 5:15 PM today.,11,350,-1,-1,-1
0,"Sounds great, thank you.",20,350,-1,-1,-1
1,"Sorry, the reservation was unsuccessful. What else may I do for you?",26,350,-1,-1,-1
0,Please try to book it again at 13:15.,27,350,-1,-1,-1
1,Confirming a table for 1 at House of Curries in Berkeley at 1:15 PM today.,11,350,-1,-1,-1
0,That sounds good.,20,350,-1,-1,-1
1,I was unable to book that for you. Would you like me to try a reservation for 1 person today at 1:30 PM at the House of Curries?,31,350,-1,-1,-1
0,I don't think so.,32,350,-1,-1,-1
1,Is there anything else I could do for you?,23,350,-1,-1,-1
0,Not right now.,24,350,-1,-1,-1
1,"Thank you, goodbye.",15,350,-1,-1,-1
0,It's been a while since I attended any game. Please help me find Match events.,27,1153,-1,-1,-1
1,Is there a particular city you'd like me to look in?,2,1153,-1,-1,-1
0,"Please find events in Portland, OR.",3,1153,-1,-1,-1
1,There's a Portland Thorns Vs Houston event at Providence Park.,4,1153,-1,-1,-1
0,Are there other events?,7,1153,-1,-1,-1
1,How about the Timbers Vs Dc United event at Providence Park?,4,1153,-1,-1,-1
0,No. Please search for some other events.,7,1153,-1,-1,-1
1,"Okay, no problem. How does the Timbers Vs Earthquakes event at Providence Park sound?",4,1153,-1,-1,-1
0,"What type of event is it, and when does it start?",5,1153,-1,-1,-1
1,It's a Soccer event that starts at 5 pm.,6,1153,-1,-1,-1
0,I like that. Please let me know when the event will be.,10,1153,-1,-1,-1
1,The Timbers Vs Earthquakes event will take place next Wednesday at Providence Park.,4,1153,-1,-1,-1
0,Wednesday is too soon for me. Are there events on other dates?,7,1153,-1,-1,-1
1,Sure. There's a Timbers Vs Earthquakes event on March 11th at Providence Park.,4,1153,-1,-1,-1
0,"Where will the event take place, and when will it start?",5,1153,-1,-1,-1
1,The event kicks off at 5 pm at 1844 Southwest Morrison Street.,6,1153,-1,-1,-1
0,I am interested in that event.,16,1153,-1,-1,-1
1,Would you like to purchase event tickets?,17,1153,-1,-1,-1
0,"Yes, I would like to purchase event tickets.",29,1153,-1,-1,-1
1,Please let me know how many tickets I should get.,2,1153,-1,-1,-1
0,"I'd like four tickets, please.",3,1153,-1,-1,-1
1,"Let me see if I got everything correctly: You'd like 4 tickets for the Timbers Vs Earthquakes event taking place on March 11th, in Portland.",11,1153,-1,-1,-1
0,"Yes, that's correct.",20,1153,-1,-1,-1
1,I have successfully made your reservation.,21,1153,-1,-1,-1
0,Thank you very much. You've been very helpful.,22,1153,-1,-1,-1
1,Will there be anything else?,23,1153,-1,-1,-1
0,Nhat will be all. Thank you very much. You've been very helpful.,24,1153,-1,-1,-1
1,Have a wonderful day.,15,1153,-1,-1,-1
0,I'd like to look for a concert.,27,1287,-1,-1,-1
1,What city should I look in?,2,1287,-1,-1,-1
0,Look for Games events in New York,3,1287,-1,-1,-1
1,I found 10 events that meet that criteria. One of them is Mets Vs Braves at Citi Field.,9,1287,-1,-1,-1
0,That sounds good.,16,1287,-1,-1,-1
1,Should I buy tickets?,17,1287,-1,-1,-1
0,"Maybe later, I am trying to find dates for events.",33,1287,-1,-1,-1
1,"I found this event on 5 different days. The one I'm referring to is Next Monday at Citi Field, and is still Mets Vs Braves.",9,1287,-1,-1,-1
0,When does it start?,5,1287,-1,-1,-1
1,7 pm.,6,1287,-1,-1,-1
0,That sounds good. Please buy 4 tickets.,25,1287,-1,-1,-1
1,You'd like me to buy 4 tickets for next Monday's Mets Vs Braves in New York?,11,1287,-1,-1,-1
0,"Yes. When does it start, and what is the address?",12,1287,-1,-1,-1
1,It starts at 7 PM at 123-01 Roosevelt Avenue. Your reservations have been made.,13,1287,-1,-1,-1
0,"Thank you, that'll be all.",14,1287,-1,-1,-1
1,Have a great day.,15,1287,-1,-1,-1
0,"I want to find something new and exciting to do, I don't care when. Find me some cool events!",27,1277,-1,-1,-1
1,"What about a preferred city? Maybe music, or sports will be good for you?",2,1277,-1,-1,-1
0,I wanna watch a match! Find me one in Chi-Town,3,1277,-1,-1,-1
